upid,tgtplatethickness1,tgtwidth,steelspec,discharge,rm_time,fm_time,staying_time_pre,staying_time_1,staying_time_2,staying_time_soak,in_fce_time,cooltime,discharge_rm-fm
18923083000,0.01473,2.892,Gr.483 CAT.II,69.303,157.488,82.851,134,70,81,54,340,7.748,106.418
18923084000,0.01473,2.892,Gr.483 CAT.II,99.45,136.033,90.243,142,72,72,52,339,7.748,131.229
18923085000,0.01473,2.892,Gr.483 CAT.II,77.762,159.309,78.911,143,69,78,44,335,7.748,122.016
18923086000,0.01473,2.892,Gr.483 CAT.II,70.438,148.992,81.792,140,69,72,54,336,7.748,112.944
18923087000,0.01473,2.892,Gr.483 CAT.II,65.464,154.032,81.788,140,60,79,56,336,7.748,120.825
18923088000,0.01473,2.892,Gr.483 CAT.II,88.862,128.699,81.208,142,69,80,43,335,7.748,136.077
18923089000,0.01473,2.892,Gr.483 CAT.II,78.09,163.716,78.473,142,69,80,43,335,7.748,126.729
18923090000,0.01473,2.892,Gr.483 CAT.II,77.463,134.984,81.361,141,70,79,44,335,7.748,129.4
18923091000,0.01473,2.892,Gr.483 CAT.II,59.663,151.927,79.973,141,68,72,53,335,7.746,124.698
18923092000,0.01473,2.892,Gr.483 CAT.II,86.133,149.808,83.62,143,68,78,43,333,7.747,136.464
18923093000,0.01473,2.892,Gr.483 CAT.II,82.109,145.398,76.992,149,70,73,40,333,7.748,137.751
18923094000,0.01473,2.892,Gr.483 CAT.II,61.25,129.351,85.912,140,69,78,45,333,7.748,134.169
18923095000,0.01473,2.892,Gr.483 CAT.II,52.506,144.191,80.689,140,70,70,53,333,7.748,134.978
18923096000,0.01473,2.892,Gr.483 CAT.II,83.083,153.697,82.321,140,77,72,42,332,7.748,118.705
18923097000,0.01473,2.892,Gr.483 CAT.II,78.28,139.88,85.584,148,69,74,60,352,7.745,123.066
18923098000,0.01473,2.892,Gr.483 CAT.II,59.824,143.762,80.06,141,70,78,64,354,7.745,104.161
18923099000,0.01473,2.892,Gr.483 CAT.II,52.355,148.175,82.802,138,69,70,77,355,7.746,121.053
18923100000,0.01569,2.611,Q550CFD,84.753,130.27,109.398,146,70,72,65,354,8.427,65.187
18923101000,0.01569,2.611,Q550CFD,80.618,126.199,122.349,149,69,71,64,354,8.426,79.819
18923102000,0.01569,2.611,Q550CFD,58.636,137.807,117.171,147,69,72,66,355,8.426,70.512
18923103000,0.01569,2.611,Q550CFD,53.699,136.61,109.88,138,70,71,76,356,8.427,83.039
18923104000,0.01569,2.611,Q550CFD,85.94,140.166,113.565,135,70,72,64,342,8.427,78.146
18923105000,0.01569,2.611,Q550CFD,81.564,131.901,114.134,147,68,72,64,352,8.427,94.511
18923106000,0.01569,2.611,Q550CFD,62.017,133.861,125.379,144,70,70,67,352,8.427,111.938
18923107000,0.01971,2.611,Q550CFD,54.287,133.695,113.948,134,70,61,77,343,8.759,127.622
18923108000,0.01971,2.611,Q550CFD,82.885,138.384,101.897,136,77,62,65,342,8.759,130.275
18923109000,0.01971,2.611,Q550CFD,76.344,137.095,111.314,144,61,70,66,342,8.759,129.402
18923110000,0.01971,2.611,Q550CFD,57.785,135.318,118.029,137,69,70,66,343,8.759,137.52
18923111000,0.01971,2.611,Q550CFD,51.689,105.991,110.442,134,71,67,69,342,8.759,160.461
18923112000,0.02964,2.577,Q550CFD,82.636,128.072,123.176,143,70,61,66,341,17.432,262.741
18923113000,0.02964,2.577,Q550CFD,76.425,126.529,126.438,143,72,80,46,342,17.439,279.653
18923114000,0.02964,2.572,Q550CFD,61.505,113.654,102.914,144,60,93,46,344,17.437,299.869
18923115000,0.02964,2.572,Q550CFD,54.562,123.266,114.292,136,67,91,50,345,17.437,263.046
18923116000,0.02964,2.577,Q550CFD,86.907,141.301,125.38,139,69,86,45,340,17.44,253.683
18923117000,0.02964,2.577,Q550CFD,76.808,148.084,123.355,139,70,84,46,340,17.439,284.304
18923118000,0.02964,2.577,Q550CFD,60.266,169.877,126.245,139,70,83,48,341,18.253,260.256
18923119000,0.02964,2.577,Q550CFD,98.467,151.531,131.391,139,59,92,50,341,18.253,256.076
18923120000,0.02964,2.578,Q550CFD,101.357,176.986,124.665,139,68,84,48,340,17.432,265.09
